,0
0,0.6481481481481481
1,0.10344827586206896
2,0.24324324324324326
3,0.8297872340425532
4,0.2727272727272727
5,0.20833333333333334
6,0.6296296296296297
7,0.6818181818181818
8,0.6
9,0.2222222222222222
10,0.0
11,0.6071428571428571
12,0.0
13,0.3148148148148148
14,0.7288135593220338
15,0.08695652173913043
16,0.5471698113207547
17,0.5490196078431373
18,0.6792452830188679
19,0.20512820512820512
20,0.19148936170212766
21,0.4
22,0.7428571428571429
23,0.4745762711864407
24,0.3018867924528302
25,0.6461538461538462
26,0.6
27,0.5
28,0.045454545454545456
29,0.8987341772151899
30,0.44776119402985076
31,0.6585365853658537
32,0.07692307692307693
33,0.14893617021276595
34,0.4411764705882353
35,0.726027397260274
36,0.5441176470588235
37,0.14285714285714285
38,0.21052631578947367
39,0.5735294117647058
40,0.17857142857142858
41,0.5571428571428572
42,0.7878787878787878
43,0.13846153846153847
44,0.6911764705882353
45,0.45454545454545453
46,0.375
47,0.23728813559322035
48,0.703125
49,0.7
50,0.4406779661016949
51,0.2631578947368421
52,0.5344827586206896
53,0.5833333333333334
54,0.4666666666666667
55,0.6833333333333333
56,0.5
57,0.6166666666666667
58,0.4
59,0.25
60,0.55
61,0.5897435897435898
62,0.6428571428571429
63,0.5822784810126582
64,0.32926829268292684
65,0.5375
66,0.7023809523809523
67,0.3142857142857143
68,0.25333333333333335
69,0.2926829268292683
70,0.47619047619047616
71,0.7976190476190477
72,0.5595238095238095
73,0.2625
74,0.6190476190476191
75,0.4939759036144578
76,0.4819277108433735
77,0.5421686746987951
78,0.4578313253012048
79,0.6666666666666666
80,0.42857142857142855
81,0.4880952380952381
82,0.5595238095238095
83,0.4642857142857143
84,0.3902439024390244
85,0.5357142857142857
86,0.2602739726027397
87,0.5357142857142857
88,0.6547619047619048
89,0.5121951219512195
90,0.6875
91,0.5060240963855421
92,0.525
93,0.5466666666666666
94,0.6190476190476191
95,0.5
96,0.4625
97,0.42168674698795183
98,0.21428571428571427
99,0.5360824742268041
100,0.2916666666666667
