,prev_year_win_perc,pwp_0.285,pwp_1.83,rolling_3_win_perc,rolling_5_win_perc,teamID,yearID,CS_perc
9,,,,,,BL1,1872,
10,,,,,,BR1,1872,
11,,,,,,BR2,1872,
12,0.6666666666666666,2.194767765029674,155.62307595934362,,,BS1,1872,0.2916666666666667
13,0.3448275862068966,2.3300809548240102,228.51177900667054,,,CL1,1872,0.25
14,,,,,,MID,1872,
15,0.48484848484848486,2.1960652733817922,156.21477080064915,,,NY2,1872,0.3728813559322034
16,0.75,2.3107332080779655,216.59909980780304,,,PH1,1872,0.5344827586206896
17,0.4642857142857143,2.299030442446838,209.65136219449676,,,TRO,1872,1.1666666666666667
18,0.5,2.3991885374644633,275.685150241491,,,WS3,1872,0.03225806451612903
19,,,,,,WS4,1872,
20,0.6481481481481481,2.321713839105671,223.29389647608008,,,BL1,1873,0.4642857142857143
21,,,,,,BL4,1873,
22,0.24324324324324326,2.2284435916021974,171.6077433544184,,,BR2,1873,0.65
23,0.8297872340425532,2.347958198889805,240.0061204360996,,,BS1,1873,0.3310344827586207
24,,,,,,ELI,1873,
25,0.6296296296296297,2.1744363814618546,146.59560601878871,,,NY2,1873,0.4375
26,0.6818181818181818,2.2371439567503444,175.95561769274494,,,PH1,1873,0.6666666666666666
27,,,,,,PH2,1873,
28,,,,,,WS5,1873,
29,0.6071428571428571,2.1869445346588376,152.09544165481324,,,BL1,1874,0.4166666666666667
30,0.3148148148148148,2.095674332965598,115.67433069365984,,,BR2,1874,0.3333333333333333
31,0.7288135593220338,2.2115168623179113,163.40835937748193,0.7417558200104178,,BS1,1874,0.4222222222222222
32,,,,,,CH2,1874,
33,,,,,,HR1,1874,
34,0.5471698113207547,2.099982281401136,117.2096911178503,0.5538826419329564,,NY2,1874,0.1111111111111111
35,0.5490196078431373,2.1332142968234717,129.64260530960806,0.6602792632204397,,PH1,1874,0.3888888888888889
36,0.6792452830188679,2.1874141870566053,152.30529408823273,,,PH2,1874,0.6666666666666666
37,0.4,2.075106166950989,108.57568748007883,0.3193526860193527,,BR2,1875,5.0
38,0.7428571428571429,2.1351011756911777,130.38068771982563,0.7671526454072432,,BS1,1875,0.3978494623655914
39,0.4745762711864407,2.0069319218121384,87.61490802568164,,,CH2,1875,0.7246376811594203
40,0.3018867924528302,1.9526619185247198,73.47365192499839,,,HR1,1875,0.5076923076923077
41,,,,,,KEO,1875,
42,,,,,,NH1,1875,
43,0.6461538461538462,1.9600986918632188,75.28908658923089,0.6076510957014102,,NY2,1875,1.2
44,0.6,2.134319976437762,130.07468015037728,0.6102792632204396,,PH1,1875,0.6133333333333333
45,0.5,2.034452769720445,95.62211627867079,,,PH2,1875,0.4857142857142857
46,,,,,,PH3,1875,
47,,,,,,SL1,1875,
48,,,,,,SL2,1875,
49,,,,,,WS6,1875,
50,,,,,,BSN,1876,
51,,,,,,CHN,1876,
52,,,,,,CN1,1876,
53,,,,,,HAR,1876,
54,,,,,,LS1,1876,
55,,,,,,NY3,1876,
56,,,,,,PHN,1876,
57,,,,,,SL3,1876,
58,0.5571428571428572,1.9898005372915806,82.92238936168665,,,BSN,1877,0.4731182795698925
59,0.7878787878787878,2.047034126429288,99.48338003866479,,,CHN,1877,0.4731182795698925
60,0.13846153846153847,2.0942745367845013,115.17911087796591,,,CN1,1877,0.4731182795698925
61,0.6911764705882353,1.9737287099211278,78.71478471419782,,,HAR,1877,0.4731182795698925
62,0.45454545454545453,1.9426843705137165,71.09613661002251,,,LS1,1877,0.4731182795698925
63,0.703125,1.9293538838884026,68.02127854788158,,,SL3,1877,0.4731182795698925
64,0.7,1.8695181754435033,55.56363529920826,,,BSN,1878,0.4731182795698925
65,0.4406779661016949,2.0062593510763507,87.42654524883814,,,CHN,1878,0.4731182795698925
66,0.2631578947368421,1.9311187597388952,68.42180408968447,,,CN1,1878,0.4731182795698925
67,,,,,,IN1,1878,
68,,,,,,ML2,1878,
69,,,,,,PRO,1878,
70,,,,,,BFN,1879,
71,0.6833333333333333,1.972001315343798,78.27348210663814,0.6468253968253969,,BSN,1879,0.4731182795698925
72,0.5,1.9393471735781012,70.31556982868413,0.5761855846601609,,CHN,1879,0.4731182795698925
73,,,,,,CL2,1879,
74,0.6166666666666667,2.01652049417859,90.33781544071756,0.33942869995501573,,CN1,1879,0.4731182795698925
75,0.55,1.9996875894916293,85.60395174284349,,,PRO,1879,0.4731182795698925
76,,,,,,SR1,1879,
77,,,,,,TRN,1879,
78,0.5897435897435898,1.9164585543712014,65.15439531170695,,,BFN,1880,0.4731182795698925
79,0.6428571428571429,1.9351522515961161,69.34465656982219,0.6753968253968253,,BSN,1880,0.4731182795698925
80,0.5822784810126582,1.924324388675696,66.89071284250392,0.5076521490381177,,CHN,1880,0.4731182795698925
81,0.32926829268292684,1.8413701453634095,50.40631418549961,,,CL2,1880,0.4731182795698925
82,0.5375,1.885344382925228,58.654066010718395,0.4724415204678363,,CN1,1880,0.4731182795698925
83,0.7023809523809523,1.824872302515895,47.57595346194409,,,PRO,1880,0.4731182795698925
84,0.25333333333333335,1.927524913190936,67.60829753919819,,,TRN,1880,0.4731182795698925
85,,,,,,WOR,1880,
86,0.2926829268292683,1.9643595171843442,76.34618058708203,,,BFN,1881,0.4731182795698925
87,0.47619047619047616,1.8776086152990539,57.12583359169869,0.6007936507936508,0.6119047619047618,BSN,1881,0.4731182795698925
88,0.7976190476190477,1.9842575607862956,81.45030264581325,0.6266325095439019,0.6216908565224377,CHN,1881,0.4731182795698925
