,teamID,yearID,batterAverageAge,medianOPS
0,ALT,1884,20.22222222222222,
1,ANA,1997,30.093023255813954,
2,ANA,1998,30.08888888888889,0.7429957523565693
3,ANA,1999,29.977777777777778,0.6841972386587771
4,ANA,2000,28.8,0.6655476719294144
5,ANA,2001,29.0,0.7966153200326327
6,ANA,2002,29.4,0.7480460186611106
7,ANA,2003,28.953488372093023,0.7515299877600978
8,ANA,2004,29.63157894736842,0.7023404255319149
9,ARI,1998,27.76086956521739,
10,ARI,1999,29.186046511627907,0.6607903036656548
11,ARI,2000,30.595238095238095,0.7310614525139665
12,ARI,2001,30.04255319148936,0.7118518518518518
13,ARI,2002,31.5,0.7549052397662342
14,ARI,2003,29.976744186046513,0.7274172229751208
15,ARI,2004,29.23076923076923,0.6872472011556519
16,ARI,2005,28.953488372093023,0.6649868986315481
17,ARI,2006,29.377777777777776,0.6089126559714795
18,ARI,2007,28.02127659574468,0.6679772608344037
19,ARI,2008,28.097560975609756,0.6893773316410907
20,ARI,2009,28.044444444444444,0.6564902758932609
21,ARI,2010,28.291666666666668,0.6848484848484848
22,ARI,2011,29.392156862745097,0.6128133665744285
23,ARI,2012,29.3265306122449,0.7150866284691555
24,ARI,2013,28.34090909090909,0.7235919351303967
25,ARI,2014,28.346153846153847,0.6400174491697925
26,ARI,2015,27.26,0.6449728531577578
27,ARI,2016,27.38,0.6078937843546052
28,ARI,2017,28.666666666666668,0.5253621143145302
29,ARI,2018,29.632653061224488,0.568733153638814
30,ARI,2019,28.666666666666668,0.5844003634517079
31,ARI,2020,28.533333333333335,0.6865011932065231
32,ARI,2021,28.78125,0.7305578462129351
33,ATL,1966,27.681818181818183,
34,ATL,1967,27.975609756097562,0.6313764821987673
35,ATL,1968,27.86842105263158,0.5158475783475783
36,ATL,1969,27.923076923076923,0.5827741154392643
37,ATL,1970,29.18918918918919,0.5704780574848315
38,ATL,1971,28.257142857142856,0.625
39,ATL,1972,27.52777777777778,0.5151515151515151
40,ATL,1973,27.953488372093023,0.5207470534071706
41,ATL,1974,27.88888888888889,0.6028985507246377
42,ATL,1975,27.7,0.6446404271824904
43,ATL,1976,27.3953488372093,0.5725869038868951
44,ATL,1977,27.023809523809526,0.5316017316017316
45,ATL,1978,26.714285714285715,0.6131858462048118
46,ATL,1979,26.973684210526315,0.6013254010091121
47,ATL,1980,27.9375,0.6685840707964601
48,ATL,1981,27.55,0.5841011103236475
49,ATL,1982,27.41025641025641,0.6285714285714286
50,ATL,1983,27.875,0.5929879705786442
51,ATL,1984,28.473684210526315,0.6354242742966073
52,ATL,1985,28.636363636363637,0.621436938695822
53,ATL,1986,29.694444444444443,0.5555537736723188
54,ATL,1987,29.585365853658537,0.6080999814963302
55,ATL,1988,29.4,0.6561304039688165
56,ATL,1989,27.130434782608695,0.6543479857937886
57,ATL,1990,27.065217391304348,0.5439546519728925
58,ATL,1991,28.58139534883721,0.7112406671161513
59,ATL,1992,28.24390243902439,0.615946348733234
60,ATL,1993,27.90909090909091,0.6945797592572982
61,ATL,1994,28.419354838709676,0.628857044489354
62,ATL,1995,28.3,0.7953216374269005
63,ATL,1996,27.904761904761905,0.6703971084592598
64,ATL,1997,28.210526315789473,0.5541646150635662
65,ATL,1998,28.333333333333332,0.6367457768213167
66,ATL,1999,28.863636363636363,0.6938987855776457
67,ATL,2000,30.21276595744681,0.5733460433396369
68,ATL,2001,30.06382978723404,0.6499666616907995
69,ATL,2002,29.86842105263158,0.6914971309337506
70,ATL,2003,30.676470588235293,0.6433458060406421
71,ATL,2004,29.307692307692307,0.7484879253496093
72,ATL,2005,28.466666666666665,0.7583519593428913
73,ATL,2006,28.533333333333335,0.6751799562716405
74,ATL,2007,28.4,0.6925694838343732
75,ATL,2008,28.816326530612244,0.6615636960087479
76,ATL,2009,28.711111111111112,0.650314062653895
77,ATL,2010,29.13953488372093,0.5820561941251596
78,ATL,2011,28.77777777777778,0.5444444444444445
79,ATL,2012,29.634146341463413,0.6735611188711006
80,ATL,2013,28.181818181818183,0.6052404827820311
81,ATL,2014,27.71794871794872,0.6633229442885462
82,ATL,2015,28.85,0.6206059854497354
83,ATL,2016,28.366666666666667,0.6487865947611711
84,ATL,2017,28.775510204081634,0.7154679802955666
85,ATL,2018,28.06779661016949,0.595790065056229
86,ATL,2019,28.74,0.47023809523809523
87,ATL,2020,28.979166666666668,0.6629729163758202
88,ATL,2021,29.714285714285715,0.790692649306248
89,BAL,1954,29.973684210526315,
90,BAL,1955,29.537037037037038,0.6599335405256458
91,BAL,1956,28.708333333333332,0.5363341598321572
92,BAL,1957,28.325581395348838,0.5693972364083557
93,BAL,1958,28.13157894736842,0.5269607843137255
94,BAL,1959,28.975609756097562,0.596535637149028
95,BAL,1960,29.146341463414632,0.5833333333333333
96,BAL,1961,28.27777777777778,0.6552475317100593
97,BAL,1962,27.166666666666668,0.48751429660693857
98,BAL,1963,27.764705882352942,0.606060606060606
99,BAL,1964,28.2972972972973,0.627192765788686
100,BAL,1965,27.735294117647058,0.6238109302305179
101,BAL,1966,27.176470588235293,0.6396577238223125
102,BAL,1967,26.951219512195124,0.6133886870783601
103,BAL,1968,26.757575757575758,0.5915966386554622
104,BAL,1969,27.8,0.6169894678916976
105,BAL,1970,28.5625,0.6881664936762388
106,BAL,1971,29.70967741935484,0.671483870922691
107,BAL,1972,28.1875,0.6
108,BAL,1973,28.333333333333332,0.5527862208713272
109,BAL,1974,28.53125,0.7320198503814532
110,BAL,1975,28.91176470588235,0.6626629571414733
111,BAL,1976,28.7027027027027,0.695912383580545
