,teamID,yearID,medianERA,pitcherAverageAge
0,ALT,1884,5.0,24.8
1,ANA,1997,4.0,29.38095238095238
2,ANA,1998,4.0,30.36842105263158
3,ANA,1999,4.0,30.6
4,ANA,2000,5.0,29.12
5,ANA,2001,4.0,28.944444444444443
6,ANA,2002,3.0,30.22222222222222
7,ANA,2003,4.0,29.263157894736842
8,ANA,2004,4.0,29.0
9,ARI,1998,5.0,27.4
10,ARI,1999,3.5,29.55
11,ARI,2000,4.0,31.333333333333332
12,ARI,2001,4.0,30.818181818181817
13,ARI,2002,4.0,32.05
14,ARI,2003,4.0,28.863636363636363
15,ARI,2004,5.0,29.32
16,ARI,2005,5.0,28.44
17,ARI,2006,4.0,29.8
18,ARI,2007,4.0,28.846153846153847
19,ARI,2008,4.0,28.4
20,ARI,2009,4.0,28.5
21,ARI,2010,5.0,28.714285714285715
22,ARI,2011,4.0,27.96
23,ARI,2012,4.0,28.17391304347826
24,ARI,2013,4.0,27.652173913043477
25,ARI,2014,4.0,28.36
26,ARI,2015,4.0,26.88888888888889
27,ARI,2016,5.0,27.103448275862068
28,ARI,2017,4.0,28.608695652173914
29,ARI,2018,3.5,29.8
30,ARI,2019,4.0,28.814814814814813
31,ARI,2020,4.0,28.153846153846153
32,ARI,2021,6.0,29.29268292682927
33,ATL,1966,3.0,27.38095238095238
34,ATL,1967,3.0,27.72222222222222
35,ATL,1968,3.0,27.529411764705884
36,ATL,1969,3.0,28.11111111111111
37,ATL,1970,4.0,30.352941176470587
38,ATL,1971,3.0,29.785714285714285
39,ATL,1972,4.0,28.235294117647058
40,ATL,1973,4.0,27.857142857142858
41,ATL,1974,3.0,28.266666666666666
42,ATL,1975,4.0,28.0
43,ATL,1976,4.0,27.61111111111111
44,ATL,1977,5.0,27.727272727272727
45,ATL,1978,4.0,27.833333333333332
46,ATL,1979,4.0,27.529411764705884
47,ATL,1980,3.0,29.454545454545453
48,ATL,1981,3.0,30.125
49,ATL,1982,4.0,28.352941176470587
50,ATL,1983,3.0,28.529411764705884
51,ATL,1984,3.0,28.2
52,ATL,1985,4.0,29.428571428571427
53,ATL,1986,3.5,29.1875
54,ATL,1987,4.0,29.45
55,ATL,1988,4.0,28.526315789473685
56,ATL,1989,3.0,26.565217391304348
57,ATL,1990,4.0,26.52173913043478
58,ATL,1991,3.0,29.1
59,ATL,1992,3.0,28.36842105263158
60,ATL,1993,3.0,27.76923076923077
61,ATL,1994,4.0,28.153846153846153
62,ATL,1995,4.0,27.8
63,ATL,1996,3.0,27.5
64,ATL,1997,3.0,27.529411764705884
65,ATL,1998,3.0,28.526315789473685
66,ATL,1999,4.0,28.09090909090909
67,ATL,2000,4.0,29.681818181818183
68,ATL,2001,3.0,29.91304347826087
69,ATL,2002,3.0,29.25
70,ATL,2003,3.0,30.823529411764707
71,ATL,2004,3.0,29.476190476190474
72,ATL,2005,3.5,28.346153846153847
73,ATL,2006,4.0,29.153846153846153
74,ATL,2007,3.5,28.642857142857142
75,ATL,2008,3.0,29.785714285714285
76,ATL,2009,3.0,28.761904761904763
77,ATL,2010,3.0,29.095238095238095
78,ATL,2011,3.0,27.666666666666668
79,ATL,2012,3.0,28.857142857142858
80,ATL,2013,3.0,28.80952380952381
81,ATL,2014,2.0,27.35
82,ATL,2015,5.0,28.513513513513512
83,ATL,2016,4.0,27.4
84,ATL,2017,4.0,28.53846153846154
85,ATL,2018,4.0,27.34285714285714
86,ATL,2019,4.0,28.548387096774192
87,ATL,2020,4.0,29.20689655172414
88,ATL,2021,3.5,29.366666666666667
89,BAL,1954,4.0,29.6875
90,BAL,1955,4.0,30.608695652173914
91,BAL,1956,4.0,28.217391304347824
92,BAL,1957,3.0,29.176470588235293
93,BAL,1958,3.0,28.285714285714285
94,BAL,1959,3.0,28.933333333333334
95,BAL,1960,3.0,27.5
96,BAL,1961,3.0,27.846153846153847
97,BAL,1962,3.0,27.176470588235293
98,BAL,1963,3.0,27.823529411764707
99,BAL,1964,2.5,28.9375
100,BAL,1965,3.0,28.5
101,BAL,1966,3.0,26.866666666666667
102,BAL,1967,3.0,26.142857142857142
103,BAL,1968,2.0,26.333333333333332
104,BAL,1969,2.0,27.571428571428573
105,BAL,1970,3.0,30.0
106,BAL,1971,3.0,30.846153846153847
107,BAL,1972,2.0,28.363636363636363
108,BAL,1973,3.0,28.666666666666668
109,BAL,1974,3.0,27.727272727272727
110,BAL,1975,3.0,28.076923076923077
111,BAL,1976,3.0,28.066666666666666
112,BAL,1977,4.0,27.625
113,BAL,1978,3.0,27.533333333333335
114,BAL,1979,2.5,27.0
115,BAL,1980,3.0,27.666666666666668
116,BAL,1981,3.5,29.166666666666668
117,BAL,1982,4.0,28.846153846153847
118,BAL,1983,3.0,28.857142857142858
119,BAL,1984,3.0,29.533333333333335
120,BAL,1985,4.0,28.533333333333335
121,BAL,1986,4.0,29.294117647058822
122,BAL,1987,4.0,28.72222222222222
123,BAL,1988,4.0,27.666666666666668
124,BAL,1989,4.0,27.470588235294116
125,BAL,1990,4.0,28.047619047619047
126,BAL,1991,4.0,27.85
127,BAL,1992,3.0,29.125
128,BAL,1993,3.5,28.0
129,BAL,1994,4.0,28.8
130,BAL,1995,4.0,29.0
131,BAL,1996,4.0,27.956521739130434
132,BAL,1997,4.0,29.235294117647058
133,BAL,1998,5.0,30.363636363636363
134,BAL,1999,4.0,29.952380952380953
135,BAL,2000,5.5,29.0
136,BAL,2001,4.0,27.772727272727273
137,BAL,2002,4.0,27.9
138,BAL,2003,4.0,28.95
